OBJECTID,INODE,JNODE,LENGTH,LANES
330,11721,11810,0.47000000000,3
331,11267,11268,0.12000000000,1
332,11187,14713,0.15000000000,1
333,2582,2520,0.07000000000,1
334,12495,15233,0.11000000000,1
335,12001,11970,0.11000000000,5
336,12291,12299,0.06000000000,1
337,12718,12722,0.35000000000,1
338,15209,14757,0.22000000000,2
339,11825,11712,0.30000000000,2
340,11831,11786,0.10000000000,1
341,11282,11270,0.10000000000,1
342,12549,12555,0.12000000000,1
343,12100,12104,0.12000000000,3
344,12354,12353,0.33000000000,1
345,12102,12110,0.51000000000,3
346,12515,12520,0.44000000000,1
347,11648,2635,0.07000000000,1
348,12113,12079,0.14000000000,2
349,11680,11756,0.23000000000,1
350,12402,12411,0.06000000000,1
351,11093,10932,0.50000000000,2
352,11611,14792,0.04000000000,3
353,11131,11133,0.13000000000,2
354,11946,11889,0.23000000000,1
355,11920,11884,0.15000000000,1
356,11099,11111,0.06000000000,2
357,11176,14690,0.18000000000,1
358,12344,12345,0.20000000000,2
359,11875,11870,0.41000000000,1
360,12175,12157,0.26000000000,3
361,11834,11775,0.21000000000,5
362,12413,12426,0.08000000000,1
363,12244,12261,0.07000000000,1
364,11678,11683,0.07000000000,3
365,2563,2564,0.13000000000,1
366,11155,2005,0.15000000000,1
367,11825,11837,0.21000000000,2
368,11825,11832,0.50000000000,2
369,12865,12857,0.09000000000,1
370,12071,12104,0.02000000000,1
371,11315,11279,0.05000000000,1
372,12318,12403,0.25000000000,1
373,12037,15221,0.21000000000,1
374,11348,11376,0.10000000000,1
375,11546,11533,0.63000000000,1
376,12408,12413,0.05000000000,1
377,5031,4979,0.10000000000,1
378,11578,11612,0.16000000000,2
379,14741,14742,0.08000000000,1
380,11183,11276,0.25000000000,1
381,11889,11883,0.02000000000,1
382,14710,11549,0.11000000000,2
383,11897,11936,0.12000000000,1
384,12220,12339,0.51000000000,3
385,2599,11739,0.16000000000,2
386,12513,12536,0.15000000000,1
387,12434,12419,0.08000000000,2
388,11300,11299,0.09000000000,1
389,11300,11296,0.13000000000,1
390,11678,11494,0.50000000000,2
391,11106,11160,0.15000000000,1
392,11089,11287,0.51000000000,2
393,11963,11961,0.12000000000,2
394,12348,12343,0.50000000000,2
395,12002,11964,0.18000000000,3
396,12698,12696,0.02000000000,1
397,12223,12235,0.20000000000,1
398,12432,12411,0.10000000000,1
399,12100,12099,0.12000000000,3
400,12609,12611,0.12000000000,2
401,11541,11582,0.09000000000,1
402,12564,12458,0.29000000000,3
403,14728,14737,0.08000000000,2
404,11981,11958,0.14000000000,2
405,12845,12826,0.10000000000,1
406,11458,11409,0.13000000000,1
407,12541,12543,0.16000000000,1
408,12729,12763,0.13000000000,2
409,15231,15217,0.15000000000,3
410,11494,11495,0.73000000000,2
411,11287,11089,0.51000000000,2
412,11489,14297,0.50000000000,1
413,12460,12445,0.47000000000,1
414,11204,2005,0.08000000000,1
415,11737,11742,0.05000000000,2
416,12103,12108,1.22000000000,2
417,11882,11812,0.18000000000,1
418,11290,11291,0.01000000000,1
419,11877,11905,0.09000000000,2
420,11294,11358,0.18000000000,1
421,12428,12424,0.05000000000,1
422,11759,11758,0.10000000000,5
423,12505,12520,0.08000000000,1
424,12768,12767,0.02000000000,2
425,12768,12769,0.17000000000,2
426,11732,11726,0.11000000000,2
427,11753,11772,0.09000000000,2
428,12688,12691,0.04000000000,1
429,14708,14710,0.15000000000,2
430,12456,12452,0.09000000000,1
431,11107,11106,0.08000000000,3
432,11852,11854,0.28000000000,1
433,11966,12081,0.33000000000,3
434,15225,15226,0.07000000000,3
435,12283,15235,0.24000000000,2
436,12519,12481,0.15000000000,2
437,11116,11114,0.38000000000,3
438,11116,11119,0.43000000000,2
439,11435,11506,0.14000000000,1
440,11104,10939,0.50000000000,3
441,12683,12627,0.36000000000,2
442,12690,12687,0.20000000000,1
443,12690,12685,0.08000000000,1
444,12534,12528,0.06000000000,3
445,11942,11958,0.09000000000,2
446,11294,11092,0.51000000000,1
447,11441,11520,0.14000000000,2
448,11630,11785,0.40000000000,3
449,15210,12001,0.22000000000,5
