linkid	inode	jnode	flag	obflag	detectorid
325	14463	12210	0	-1	0
326	11910	12025	0	-1	0
327	12253	12273	0	-1	0
328	11488	11512	0	-1	0
329	11297	11298	0	-1	0
330	11721	11810	0	-1	0
331	11267	11268	0	-1	0
332	11187	14713	0	-1	0
333	2582	2520	0	-1	0
334	12495	15233	0	-1	0
335	12001	11970	0	-1	0
336	12291	12299	0	-1	0
337	12718	12722	0	-1	0
338	15209	14757	0	-1	0
339	11825	11712	0	-1	0
340	11831	11786	0	-1	0
341	11282	11270	0	-1	0
342	12549	12555	0	-1	0
343	12100	12104	0	-1	0
344	12354	12353	0	-1	0
345	12102	12110	0	-1	0
346	12515	12520	0	-1	0
347	11648	2635	1	20	7577
348	12113	12079	0	-1	0
349	11680	11756	0	-1	0
350	12402	12411	0	-1	0
351	11093	10932	0	-1	0
352	11611	14792	0	-1	0
353	11131	11133	0	-1	0
354	11946	11889	0	-1	0
355	11920	11884	0	-1	0
356	11099	11111	0	-1	0
357	11176	14690	0	-1	0
358	12344	12345	0	-1	0
359	11875	11870	0	-1	0
360	12175	12157	0	-1	0
361	11834	11775	0	-1	0
362	12413	12426	0	-1	0
363	12244	12261	0	-1	0
364	11678	11683	0	-1	0
365	2563	2564	0	-1	0
366	11155	2005	0	-1	0
367	11825	11837	0	-1	0
368	11825	11832	0	-1	0
369	12865	12857	0	-1	0
370	12071	12104	0	-1	0
371	11315	11279	0	-1	0
372	12318	12403	0	-1	0
373	12037	15221	0	-1	0
374	11348	11376	0	-1	0
375	11546	11533	0	-1	0
376	12408	12413	0	-1	0
377	5031	4979	0	-1	0
378	11578	11612	0	-1	0
379	14741	14742	0	-1	0
380	11183	11276	0	-1	0
381	11889	11883	0	-1	0
382	14710	11549	0	-1	0
383	11897	11936	0	-1	0
384	12220	12339	0	-1	0
385	2599	11739	0	-1	0
386	12513	12536	0	-1	0
387	12434	12419	0	-1	0
388	11300	11299	0	-1	0
389	11300	11296	0	-1	0
390	11678	11494	0	-1	0
391	11106	11160	0	-1	0
392	11089	11287	0	-1	0
393	11963	11961	0	-1	0
394	12348	12343	0	-1	0
395	12002	11964	0	-1	0
396	12698	12696	0	-1	0
397	12223	12235	0	-1	0
398	12432	12411	0	-1	0
399	12100	12099	0	-1	0
400	12609	12611	0	-1	0
401	11541	11582	0	-1	0
402	12564	12458	0	-1	0
403	14728	14737	1	21	7764
404	11981	11958	0	-1	0
405	12845	12826	0	-1	0
406	11458	11409	0	-1	0
407	12541	12543	0	-1	0
408	12729	12763	0	-1	0
409	15231	15217	0	-1	0
410	11494	11495	0	-1	0
411	11287	11089	0	-1	0
412	11489	14297	0	-1	0
413	12460	12445	0	-1	0
414	11204	2005	0	-1	0
415	11737	11742	0	-1	0
416	12103	12108	0	-1	0
417	11882	11812	0	-1	0
418	11290	11291	0	-1	0
419	11877	11905	0	-1	0
420	11294	11358	0	-1	0
421	12428	12424	0	-1	0
422	11759	11758	0	-1	0
423	12505	12520	0	-1	0
424	12768	12767	0	-1	0
425	12768	12769	0	-1	0
426	11732	11726	0	-1	0
427	11753	11772	0	-1	0
428	12688	12691	0	-1	0
429	14708	14710	0	-1	0
430	12456	12452	0	-1	0
431	11107	11106	0	-1	0
432	11852	11854	0	-1	0
433	11966	12081	0	-1	0
434	15225	15226	0	-1	0
435	12283	15235	0	-1	0
436	12519	12481	0	-1	0
437	11116	11114	0	-1	0
438	11116	11119	0	-1	0
439	11435	11506	0	-1	0
440	11104	10939	0	-1	0
441	12683	12627	0	-1	0
442	12690	12687	0	-1	0
443	12690	12685	0	-1	0
444	12534	12528	0	-1	0
445	11942	11958	0	-1	0
446	11294	11092	0	-1	0
447	11441	11520	0	-1	0
448	11630	11785	0	-1	0
449	15210	12001	0	-1	0
450	11544	11477	0	-1	0
451	12149	12132	0	-1	0
452	11613	11563	0	-1	0
453	12348	12242	0	-1	0
454	11155	11148	0	-1	0
455	15241	12766	1	22	8102
456	11107	11114	0	-1	0
457	12352	12362	0	-1	0
458	14723	11575	1	23	7533
459	11196	11215	0	-1	0
460	11505	11506	0	-1	0
461	11766	11767	0	-1	0
462	12225	12203	0	-1	0
463	12475	12470	0	-1	0
464	11564	11611	0	-1	0
465	12403	12318	0	-1	0
466	14745	14746	0	-1	0
467	11812	11882	0	-1	0
468	12251	12271	0	-1	0
469	11321	11319	0	-1	0
470	11509	2518	1	24	8082
471	12336	12349	0	-1	0
472	12047	12034	0	-1	0
473	12687	12690	0	-1	0
474	12485	12484	0	-1	0
475	12485	12488	0	-1	0
476	12481	12475	0	-1	0
477	11624	11782	0	-1	0
478	12481	12473	0	-1	0
479	12617	12618	0	-1	0
480	12617	12612	0	-1	0
481	2674	11712	0	-1	0
482	11816	11814	0	-1	0
483	12611	12609	0	-1	0
484	14790	11573	1	25	7531
485	12554	12547	0	-1	0
486	11170	11163	0	-1	0
487	11111	11099	0	-1	0
488	12025	11910	0	-1	0
489	12879	12898	0	-1	0
490	12402	12393	0	-1	0
491	12170	12174	0	-1	0
492	11174	11175	0	-1	0
493	11174	11176	0	-1	0
494	12763	12851	0	-1	0
495	11078	11059	0	-1	0
496	11323	11168	0	-1	0
497	11299	11093	0	-1	0
498	12099	11984	0	-1	0
499	11933	11966	0	-1	0
500	12032	11978	0	-1	0
501	12405	12419	0	-1	0
502	11964	12002	0	-1	0
503	14051	14055	1	26	8341
504	11438	11475	0	-1	0
505	11913	11873	0	-1	0
506	12466	12469	0	-1	0
507	11980	12014	0	-1	0
508	12242	12209	0	-1	0
509	14721	14692	0	-1	0
510	12105	12113	0	-1	0
511	12355	12103	0	-1	0
512	12536	12513	0	-1	0
513	11963	12115	0	-1	0
514	14776	14782	1	27	7527
515	11321	11305	0	-1	0
516	11409	11458	0	-1	0
517	12398	12445	0	-1	0
518	12150	12152	0	-1	0
519	11495	11459	0	-1	0
520	12037	11971	0	-1	0
521	12106	12109	0	-1	0
522	11137	11135	0	-1	0
523	12424	12422	0	-1	0
524	12424	12428	0	-1	0
525	11703	11672	0	-1	0
526	11707	11709	0	-1	0
527	12610	12613	0	-1	0
528	12150	12060	0	-1	0
529	11447	11362	0	-1	0
530	11734	11706	0	-1	0
531	2676	11694	0	-1	0
532	12447	12343	0	-1	0
533	12614	14052	0	-1	0
534	14731	14732	0	-1	0
535	11542	11546	0	-1	0
536	12121	12066	0	-1	0
537	12664	12701	0	-1	0
538	11293	11274	0	-1	0
539	11293	11272	0	-1	0
540	12049	12068	0	-1	0
541	12698	12697	0	-1	0
542	11187	11191	0	-1	0
543	12449	12463	0	-1	0
544	12273	12291	0	-1	0
545	12515	12494	0	-1	0
546	11810	11869	0	-1	0
547	14726	14731	0	-1	0
548	2469	2543	1	28	7642
549	11618	11603	0	-1	0
550	12843	12876	0	-1	0
551	11870	11875	0	-1	0
552	11055	11072	0	-1	0
553	12555	12549	0	-1	0
554	14735	11664	0	-1	0
555	12099	12281	0	-1	0
556	11853	11762	1	29	7765
557	14719	14720	0	-1	0
558	12113	12105	0	-1	0
559	11291	11290	0	-1	0
560	11771	11756	0	-1	0
561	14771	14780	0	-1	0
562	14703	14704	1	30	7692
563	11435	11368	0	-1	0
564	11186	11181	0	-1	0
565	11970	11878	0	-1	0
566	11046	11077	0	-1	0
567	11275	11292	0	-1	0
568	12350	12345	0	-1	0
569	11140	11168	0	-1	0
570	11157	11174	0	-1	0
571	11788	11750	0	-1	0
572	11623	11657	0	-1	0
573	14041	12365	0	-1	0
574	12306	14044	0	-1	0
575	12563	12557	0	-1	0
576	11027	11055	0	-1	0
577	12447	12448	0	-1	0
578	11668	11667	0	-1	0
579	11143	11148	0	-1	0
580	11143	11142	0	-1	0
581	11503	11506	0	-1	0
582	12373	12366	0	-1	0
583	14709	14708	0	-1	0
584	14785	14784	0	-1	0
585	15233	15223	1	31	8104
586	11148	11155	0	-1	0
587	11381	11441	0	-1	0
588	11219	11191	0	-1	0
589	11683	2169	0	-1	0
590	11512	14704	0	-1	0
591	2593	11759	0	-1	0
592	12166	12209	0	-1	0
593	12079	12113	0	-1	0
594	11699	11714	0	-1	0
595	11936	11897	0	-1	0
596	12201	12176	0	-1	0
597	12473	12446	0	-1	0
598	12422	12539	0	-1	0
599	11739	2593	0	-1	0
600	11884	11890	0	-1	0
601	11355	11283	0	-1	0
602	11458	11459	0	-1	0
603	11098	11097	0	-1	0
604	11396	11507	0	-1	0
605	11734	11781	0	-1	0
606	14763	14739	1	33	7972
607	11096	11060	0	-1	0
608	14714	14712	1	34	7773
609	12420	12455	0	-1	0
610	11967	11980	0	-1	0
611	15240	12730	0	-1	0
612	11092	11294	0	-1	0
613	11608	11583	0	-1	0
614	11193	11178	0	-1	0
615	11455	11358	0	-1	0
616	12471	12468	0	-1	0
617	14084	11654	0	-1	0
618	12003	12015	0	-1	0
619	11599	11544	0	-1	0
620	11694	2672	0	-1	0
621	11269	11314	0	-1	0
622	14792	14791	0	-1	0
623	12857	12865	0	-1	0
624	11654	14109	1	35	7799
625	12106	12098	0	-1	0
626	12354	12284	0	-1	0
627	14711	14702	0	-1	0
628	11788	11867	0	-1	0
629	15228	15229	0	-1	0
630	12463	12449	0	-1	0
631	11963	11832	0	-1	0
632	12439	12449	0	-1	0
633	11772	11797	0	-1	0
634	12281	12099	0	-1	0
635	12317	12346	0	-1	0
636	12210	12163	0	-1	0
637	11603	11618	0	-1	0
638	12629	12503	0	-1	0
639	11551	11578	0	-1	0
640	11712	2702	0	-1	0
641	12030	11979	0	-1	0
642	15221	12037	0	-1	0
643	12345	12350	0	-1	0
644	12114	12113	0	-1	0
645	14694	14695	0	-1	0
646	12766	12651	1	36	8103
647	11964	11864	0	-1	0
648	11758	11751	1	37	7430
649	14780	14779	0	-1	0
650	12304	12299	0	-1	0
651	11323	11342	0	-1	0
653	11660	11669	0	-1	0
654	2543	2598	0	-1	0
655	11368	11332	0	-1	0
656	12457	12448	0	-1	0
657	5338	5341	0	-1	0
658	11259	11271	0	-1	0
659	11669	11667	0	-1	0
660	11669	11660	0	-1	0
661	11635	11602	0	-1	0
662	12376	12417	0	-1	0
663	14456	11903	0	-1	0
664	11501	11476	0	-1	0
665	11459	11458	0	-1	0
666	12691	12688	0	-1	0
667	14787	11533	0	-1	0
668	11286	11205	0	-1	0
669	14786	14787	0	-1	0
670	11978	11855	0	-1	0
671	11934	11927	0	-1	0
672	12687	12826	0	-1	0
673	12095	12107	0	-1	0
674	15216	15210	0	-1	0
675	11884	14759	0	-1	0
676	11399	11361	0	-1	0
677	12355	14460	0	-1	0
678	12503	14463	0	-1	0
679	12539	12422	0	-1	0
680	11940	11929	0	-1	0
681	11676	11628	0	-1	0
682	15214	15215	0	-1	0
683	11984	11869	0	-1	0
684	12454	12483	0	-1	0
685	12563	12612	0	-1	0
686	11859	11790	0	-1	0
687	11102	11103	0	-1	0
688	11102	11100	0	-1	0
689	15237	12542	0	-1	0
690	14113	14114	0	-1	0
691	11477	11359	0	-1	0
692	11578	14696	0	-1	0
693	12167	12184	0	-1	0
694	12863	12716	0	-1	0
695	15220	15219	0	-1	0
696	11816	11822	0	-1	0
697	11191	11219	0	-1	0
698	11563	14780	0	-1	0
699	11089	11090	0	-1	0
700	14729	14730	0	-1	0
